iter	Passed	Remaining
0	3	23294
1	7	21837
2	10	21964
3	14	21363
4	17	21419
5	21	21404
6	25	21585
7	28	21490
8	32	21467
9	35	21190
10	39	21266
11	42	21078
12	46	21217
13	50	21491
14	53	21514
15	58	21730
16	61	21758
17	65	21881
18	69	22033
19	73	22107
20	77	22190
21	81	22252
22	83	21637
23	84	21036
24	85	20491
25	86	19984
26	88	19507
27	89	19085
28	90	18635
29	91	18200
30	92	17795
31	93	17418
32	94	17169
33	96	16949
34	97	16694
35	99	16415
36	100	16248
37	101	15971
38	102	15698
39	104	15586
40	105	15384
41	107	15215
42	108	14992
43	109	14826
44	110	14610
45	111	14411
46	112	14250
47	113	14064
48	114	13950
49	115	13794
50	117	13651
51	118	13530
52	119	13373
53	120	13298
54	122	13206
55	123	13112
56	124	12977
57	125	12891
58	127	12826
59	128	12754
60	129	12650
61	131	12640
62	133	12579
63	135	12526
64	136	12478
65	139	12555
66	140	12470
67	142	12442
68	144	12390
69	145	12316
70	146	12231
71	147	12162
72	149	12099
73	150	12035
74	151	11955
75	152	11884
76	153	11821
77	154	11760
78	155	11679
79	157	11624
80	158	11567
81	159	11510
82	160	11452
83	161	11402
84	162	11341
85	164	11302
86	165	11261
87	166	11201
88	167	11136
89	169	11141
90	171	11107
91	172	11067
92	173	11030
93	176	11059
94	177	11050
95	179	11011
96	180	10971
97	181	10923
98	182	10866
99	183	10836
100	184	10784
101	185	10747
102	186	10701
103	187	10656
104	189	10634
105	190	10608
106	192	10604
107	193	10574
108	195	10543
109	196	10516
110	197	10491
111	199	10471
112	200	10448
113	201	10419
114	203	10418
115	205	10401
116	206	10376
117	207	10347
118	208	10317
119	210	10296
120	211	10286
121	214	10310
122	215	10275
123	216	10252
124	218	10247
125	218	10208
126	220	10193
127	221	10156
128	222	10120
129	223	10100
130	225	10080
131	226	10056
132	227	10043
133	228	10022
134	230	10018
135	231	10001
136	233	9975
137	234	9941
138	236	9965
139	238	9976
140	240	9995
141	242	9988
142	243	9972
143	244	9961
144	246	9969
145	248	9981
146	250	9960
147	251	9948
148	252	9932
