iter	Passed	Remaining
0	1	700
1	3	816
2	4	738
3	5	701
4	6	678
5	7	648
6	8	615
7	9	597
8	10	574
9	13	663
10	14	648
11	15	629
12	16	621
13	17	612
14	18	605
15	19	594
16	20	590
17	21	587
18	23	584
19	24	582
20	25	578
21	26	574
22	27	574
23	28	572
24	29	569
25	30	562
26	31	555
27	33	556
28	34	553
29	34	547
30	36	545
31	36	540
32	38	538
33	38	534
34	39	531
35	40	526
36	41	519
37	42	515
38	43	509
39	43	505
40	44	501
41	45	496
42	46	498
43	47	497
44	48	494
45	49	492
46	50	490
47	51	487
48	52	486
49	53	483
50	54	480
51	55	477
52	56	475
53	57	472
