"Имя","1:02","1:03","1:04","1:05","1:06","1:07","1:08","1:09","1:10","1:11","1:12","1:13","1:14","1:15","1:16","1:17","1:18","1:19","1:20","1:21","2:03","2:04","2:05","2:06","2:07","2:08","2:09","2:10","2:11","2:12","2:13","2:14","2:15","2:16","2:17","2:18","2:19","2:20","2:21","3:04","3:05","3:06","3:07","3:08","3:09","3:10","3:11","3:12","3:13","3:14","3:15","3:16","3:17","3:18","3:19","3:20","3:21","4:05","4:06","4:07","4:08","4:09","4:10","4:11","4:12","4:13","4:14","4:15","4:16","4:17","4:18","4:19","4:20","4:21","5:06","5:07","5:08","5:09","5:10","5:11","5:12","5:13","5:14","5:15","5:16","5:17","5:18","5:19","5:20","5:21","6:07","6:08","6:09","6:10","6:11","6:12","6:13","6:14","6:15","6:16","6:17","6:18","6:19","6:20","6:21","7:08","7:09","7:10","7:11","7:12","7:13","7:14","7:15","7:16","7:17","7:18","7:19","7:20","7:21","8:09","8:10","8:11","8:12","8:13","8:14","8:15","8:16","8:17","8:18","8:19","8:20","8:21","9:10","9:11","9:12","9:13","9:14","9:15","9:16","9:17","9:18","9:19","9:20","9:21","10:11","10:12","10:13","10:14","10:15","10:16","10:17","10:18","10:19","10:20","10:21","11:12","11:13","11:14","11:15","11:16","11:17","11:18","11:19","11:20","11:21","12:13","12:14","12:15","12:16","12:17","12:18","12:19","12:20","12:21","13:14","13:15","13:16","13:17","13:18","13:19","13:20","13:21","14:15","14:16","14:17","14:18","14:19","14:20","14:21","15:16","15:17","15:18","15:19","15:20","15:21","16:17","16:18","16:19","16:20","16:21","17:18","17:19","17:20","17:21","18:19","18:20","18:21","19:20","19:21","20:21"
"АзиЛВ","0.973","0.948","0.957","0.906","0.920","0.892","0.851","0.779","0.778","0.670","0.678","0.691","0.741","0.606","0.630","0.438","0.429","0.201","-0.606","-0.588","0.997","0.921","0.941","0.958","0.982","0.955","0.789","0.740","0.912","0.917","0.893","0.650","0.351","0.321","0.751","0.753","-0.358","0.335","-0.332","0.858","0.924","0.962","0.988","0.972","0.677","0.772","0.926","0.938","0.928","0.516","0.338","0.357","0.691","0.772","-0.381","0.124","-0.515","0.873","0.926","0.808","0.634","0.869","0.831","0.552","0.478","0.511","0.843","0.541","0.582","-0.171","0.228","-0.160","-0.573","-0.552","0.952","0.931","0.835","0.706","0.763","0.672","0.747","0.645","0.441","0.315","0.235","0.352","0.501","-0.258","-0.738","-0.830","0.960","0.925","0.736","0.931","0.838","0.851","0.868","0.544","0.659","0.750","0.269","0.629","-0.091","-0.707","-0.788","0.984","0.711","0.820","0.969","0.975","0.968","0.510","0.454","0.459","0.779","0.845","-0.333","0.383","-0.437","0.355","0.736","0.919","0.942","0.966","0.180","0.147","0.230","0.771","0.893","-0.355","0.389","-0.421","0.883","0.756","0.692","0.459","0.920","0.816","0.654","0.476","0.085","0.460","0.194","0.114","0.952","0.912","0.834","0.932","0.987","0.966","0.863","0.723","0.815","0.644","0.531","0.997","0.954","0.849","0.933","0.929","0.973","0.892","0.700","0.897","0.854","0.975","0.761","0.880","0.914","0.980","0.920","0.603","0.871","0.845","0.560","0.632","0.708","0.963","0.965","-0.085","0.742","0.642","0.920","0.856","0.778","0.457","0.513","0.677","0.643","0.982","0.914","0.624","0.947","0.879","0.850","0.956","0.747","0.895","0.877","0.898","0.883","0.910","0.980","0.981","0.216","0.802","0.792","0.948","0.934","0.992"
"АнтЛВ","0.991","0.971","0.984","0.986","0.987","0.986","0.974","0.984","0.981","0.981","0.986","0.958","0.836","0.845","0.851","0.874","0.874","-0.510","-0.674","-0.486","0.975","0.974","0.984","0.984","0.993","0.952","0.957","0.950","0.971","0.981","0.939","0.860","0.739","0.588","0.707","0.574","-0.485","-0.193","-0.339","0.848","0.902","0.965","0.971","0.973","0.877","0.830","0.771","0.907","0.982","0.722","0.809","0.798","0.626","0.669","-0.418","-0.565","-0.566","0.938","0.933","0.816","0.699","0.934","0.726","0.864","0.938","0.811","0.777","0.608","0.677","0.784","0.756","-0.528","-0.425","-0.204","0.991","0.945","0.973","0.993","0.990","0.988","0.987","0.919","0.876","0.899","0.908","0.894","0.656","-0.374","-0.521","-0.603","0.979","0.968","0.979","0.980","0.973","0.976","0.960","0.659","0.767","0.857","0.750","0.830","-0.369","-0.759","-0.584","0.980","0.931","0.944","0.940","0.950","0.954","0.857","0.895","0.847","0.796","0.566","-0.389","-0.275","-0.546","0.957","0.975","0.941","0.966","0.997","0.873","0.880","0.898","0.822","0.884","-0.242","-0.703","-0.842","0.983","0.987","0.984","0.895","0.887","0.901","0.891","0.869","0.741","0.112","0.239","-0.382","0.998","0.969","0.892","0.863","0.957","0.931","0.948","0.363","0.527","0.245","-0.728","0.980","0.809","0.881","0.950","0.926","0.936","0.188","0.295","0.510","-0.398","0.958","0.922","0.938","0.953","0.946","0.826","0.537","0.354","0.116","0.854","0.852","0.878","0.785","0.919","-0.233","-0.763","-0.754","0.922","0.842","0.889","0.903","0.630","0.654","0.164","0.986","0.961","0.840","0.915","0.778","0.652","0.972","0.898","0.927","0.778","0.722","0.930","0.903","0.881","0.846","0.565","-0.536","0.339","0.933","0.863","0.949"
"АндрЛВ","0.947","0.918","0.986","0.951","0.960","0.896","0.672","0.767","0.951","0.889","0.895","0.827","0.875","0.796","0.777","0.728","0.785","0.701","0.533","0.280","0.993","0.919","0.982","0.974","0.987","0.773","0.285","0.905","0.959","0.964","0.977","0.814","0.734","0.725","0.866","0.943","0.589","0.803","0.291","0.872","0.965","0.967","0.981","0.917","0.604","0.888","0.935","0.948","0.989","0.848","0.787","0.773","0.863","0.960","0.723","0.738","0.312","0.910","0.940","0.825","0.162","0.341","0.913","0.826","0.843","0.743","0.768","0.684","0.656","0.721","0.678","0.312","0.609","0.128","0.985","0.959","0.763","0.705","0.922","0.908","0.922","0.936","0.867","0.836","0.837","0.866","0.905","0.771","0.689","0.548","0.980","0.846","0.769","0.966","0.938","0.962","0.954","0.879","0.922","0.917","0.908","0.912","0.887","0.671","0.651","0.913","0.666","0.916","0.958","0.979","0.989","0.796","0.823","0.837","0.952","0.950","0.768","0.877","0.840","0.968","0.201","0.106","0.341","0.969","0.928","0.820","0.730","0.915","0.922","0.880","0.347","0.913","-0.405","-0.689","-0.684","0.709","0.896","0.937","0.866","0.862","0.646","0.889","-0.365","0.932","0.979","0.976","0.829","0.826","0.974","0.942","0.939","0.801","0.826","0.943","0.240","0.997","0.913","0.717","0.914","0.918","0.970","0.853","0.702","0.954","0.570","0.949","0.730","0.896","0.905","0.978","0.907","0.772","0.956","0.676","0.852","0.761","0.736","0.888","0.976","0.731","0.700","0.578","0.967","0.874","0.891","0.752","0.603","0.721","0.829","0.977","0.935","0.723","0.947","0.945","0.913","0.964","0.733","0.947","0.970","0.950","0.918","0.900","0.982","0.980","0.659","0.813","0.858","0.898","0.900","0.976"
"АнисЛВ","0.615","0.723","0.944","0.902","0.966","0.668","0.380","0.534","0.870","0.322","0.458","0.567","0.089","0.186","0.558","-0.277","0.420","-0.613","-0.803","-0.754","0.966","0.831","0.739","0.888","0.976","0.980","0.752","0.698","0.956","0.952","0.953","0.674","0.396","0.415","0.905","0.930","-0.375","0.671","0.743","0.761","0.828","0.916","0.982","0.932","0.572","0.740","0.911","0.930","0.927","0.461","0.438","0.630","0.848","0.873","-0.292","0.437","0.531","0.894","0.938","0.755","0.684","0.785","0.783","0.445","0.477","0.745","0.485","0.096","-0.150","-0.504","0.409","-0.841","-0.795","-0.749","0.960","0.833","0.668","0.654","0.926","0.706","0.815","0.727","0.199","0.175","0.714","0.467","0.623","-0.591","-0.784","-0.676","0.916","0.858","0.515","0.966","0.788","0.875","0.893","-0.068","0.445","0.904","0.688","0.796","-0.559","-0.774","-0.624","0.960","0.646","0.825","0.976","0.988","0.959","0.514","0.566","0.787","0.937","0.932","-0.142","0.513","0.600","0.307","0.765","0.946","0.952","0.978","0.213","-0.068","0.494","0.895","0.962","-0.323","0.517","0.651","0.791","0.775","0.661","0.423","0.989","0.845","0.419","0.557","0.448","0.409","0.399","0.273","0.918","0.897","0.880","0.711","0.900","0.948","0.866","0.847","0.327","0.094","0.169","0.995","0.940","0.778","0.889","0.915","0.989","0.941","0.767","0.949","0.931","0.969","0.614","0.844","0.918","0.988","0.960","0.624","0.884","0.898","0.303","0.580","0.779","0.946","0.992","0.251","0.618","0.754","0.921","0.529","0.650","0.448","0.722","0.746","0.660","0.976","0.929","0.765","0.932","0.861","0.867","0.943","0.831","0.886","0.773","0.876","0.958","0.855","0.941","0.936","0.603","0.793","0.874","0.936","0.914","0.991"
"ЯнЛВ","0.960","0.953","0.910","0.988","0.987","0.958","0.881","0.926","0.955","0.877","0.928","0.916","0.715","0.728","0.707","0.569","0.830","0.124","-0.183","-0.150","0.995","0.792","0.919","0.939","0.988","0.976","0.759","0.856","0.978","0.974","0.982","0.614","0.455","0.497","0.654","0.953","-0.235","0.632","0.674","0.792","0.908","0.948","0.995","0.971","0.769","0.818","0.976","0.980","0.979","0.666","0.447","0.433","0.800","0.952","-0.292","0.594","0.629","0.931","0.831","0.788","0.857","0.990","0.899","0.718","0.804","0.875","0.822","0.609","0.455","0.630","0.791","-0.154","-0.421","-0.458","0.993","0.942","0.853","0.928","0.990","0.887","0.939","0.872","0.919","0.902","0.939","0.520","0.874","0.728","0.163","0.358","0.960","0.893","0.889","0.979","0.883","0.959","0.916","0.935","0.938","0.964","0.437","0.927","0.758","0.201","0.438","0.974","0.801","0.891","0.980","0.994","0.979","0.748","0.689","0.700","0.789","0.967","0.249","0.746","0.786","0.853","0.742","0.912","0.971","0.995","0.870","0.549","0.613","0.873","0.981","-0.155","0.617","0.607","0.919","0.793","0.850","0.862","0.827","0.849","0.789","0.829","0.829","0.576","-0.080","-0.059","0.928","0.918","0.740","0.941","0.983","0.984","0.830","0.778","0.932","0.585","0.696","0.976","0.931","0.703","0.832","0.683","0.989","0.935","0.637","0.882","0.886","0.978","0.822","0.835","0.848","0.883","0.981","0.712","0.908","0.937","0.855","0.682","0.762","0.920","0.990","0.382","0.741","0.773","0.937","0.937","0.599","0.920","0.771","0.165","0.236","0.995","0.877","0.810","0.986","0.798","0.836","0.651","0.873","0.990","0.835","0.906","0.924","0.801","0.959","0.944","0.735","0.885","0.902","0.911","0.927","0.992"
"АратЛВ","0.654","0.778","0.990","0.992","0.989","0.774","0.727","0.999","0.980","0.167","-0.036","0.551","0.998","0.957","0.962","-0.553","-0.394","0.964","-0.495","-0.644","0.986","0.919","0.925","0.943","0.986","0.960","0.850","0.648","0.956","0.903","0.916","0.490","0.252","0.415","0.648","0.704","0.331","0.443","0.301","0.904","0.960","0.972","0.996","0.986","0.862","0.801","0.977","0.926","0.965","0.625","0.261","0.644","0.697","0.821","0.542","-0.555","-0.553","0.992","0.990","0.958","0.804","0.999","0.991","0.631","0.613","0.711","0.999","0.982","0.988","-0.354","-0.522","0.989","-0.384","-0.580","0.999","0.978","0.932","0.998","0.988","0.844","0.853","0.812","0.998","0.977","0.983","-0.308","0.436","0.976","-0.419","-0.598","0.986","0.938","0.997","0.982","0.863","0.853","0.810","0.997","0.970","0.979","-0.293","0.438","0.972","-0.443","-0.615","0.991","0.953","0.841","0.978","0.952","0.965","0.734","0.333","0.623","0.769","0.814","0.427","0.612","0.480","0.784","0.830","0.965","0.980","0.991","0.791","0.651","0.680","0.867","0.894","0.705","0.581","0.556","0.992","0.665","0.703","0.784","1.000","0.984","0.992","-0.377","-0.453","0.994","-0.426","-0.619","0.789","0.859","0.772","0.994","0.996","0.998","0.336","0.527","0.988","-0.280","-0.461","0.988","0.948","0.550","0.618","0.784","0.952","0.873","0.627","0.819","0.798","0.983","0.496","0.725","0.868","0.977","0.935","0.666","0.842","0.836","0.617","0.709","0.811","0.932","0.970","0.582","0.720","0.795","0.988","0.994","-0.330","-0.451","0.996","-0.393","-0.585","0.998","0.404","0.589","0.994","0.135","-0.311","0.610","0.666","0.997","0.253","-0.268","0.936","0.438","0.956","0.960","0.447","0.819","0.853","0.187","-0.361","0.982"
"БайЛВ","0.828","0.845","0.979","0.989","0.924","0.633","0.542","0.975","0.983","0.515","0.342","0.241","0.966","0.948","0.912","-0.305","-0.522","0.771","0.450","-0.551","0.994","0.739","0.739","0.736","0.988","0.948","0.658","0.692","0.981","0.968","0.965","0.666","0.385","-0.436","0.868","0.840","-0.326","0.759","0.811","0.761","0.783","0.737","0.976","0.949","0.682","0.743","0.975","0.959","0.964","0.712","0.479","0.392","0.861","0.830","-0.084","0.699","0.704","0.990","0.795","0.465","0.474","0.998","0.987","0.385","-0.239","0.157","0.998","0.957","0.939","-0.448","-0.621","0.864","0.604","-0.592","0.870","0.530","0.430","0.992","0.996","0.439","-0.264","-0.224","0.988","0.971","0.950","-0.483","-0.632","0.845","0.428","-0.619","0.569","0.564","0.760","0.880","0.476","0.341","-0.219","0.746","0.828","0.773","-0.417","-0.391","0.608","0.313","-0.631","0.896","0.402","0.474","0.982","0.973","0.954","0.399","-0.416","-0.499","0.896","0.866","-0.389","0.817","0.864","-0.219","0.463","0.952","0.955","0.972","0.304","-0.355","-0.364","0.900","0.886","-0.263","0.737","0.849","0.986","0.263","-0.386","-0.267","1.000","0.964","0.952","-0.535","-0.720","0.895","0.563","-0.621","0.459","-0.256","-0.237","0.986","0.989","0.969","-0.434","-0.603","0.884","0.541","-0.569","0.995","0.986","0.339","0.292","-0.318","0.955","0.922","-0.188","0.871","0.903","0.983","-0.386","-0.423","-0.423","0.974","0.956","-0.307","0.872","0.926","-0.271","-0.391","-0.337","0.962","0.941","-0.174","0.847","0.893","0.971","0.964","-0.516","-0.707","0.913","0.593","-0.603","0.991","-0.430","-0.669","0.959","0.721","-0.481","-0.332","-0.576","0.965","0.760","-0.335","0.979","-0.142","0.940","0.966","-0.555","0.788","0.945","0.829","0.124","0.964"
"БорисЛВ","0.787","0.743","0.977","0.997","0.993","0.774","0.727","0.976","0.985","0.704","0.693","0.683","0.969","0.974","0.972","0.620","0.689","0.961","0.417","0.492","0.978","0.694","0.827","0.762","0.988","0.988","0.685","0.793","0.982","0.973","0.975","0.608","0.587","0.386","0.977","0.971","0.278","0.923","0.918","0.584","0.771","0.745","0.960","0.983","0.582","0.689","0.944","0.930","0.909","0.597","0.595","0.437","0.945","0.929","0.185","0.904","0.896","0.980","0.986","0.707","0.624","0.994","0.979","0.639","0.599","0.533","0.985","0.973","0.967","0.486","0.726","0.970","0.289","0.327","0.996","0.833","0.778","0.980","0.993","0.780","0.767","0.777","0.970","0.978","0.971","0.720","0.783","0.953","0.565","0.623","0.817","0.769","0.985","0.998","0.778","0.783","0.729","0.975","0.985","0.979","0.680","0.717","0.963","0.428","0.499","0.989","0.708","0.821","0.990","0.986","0.964","0.650","0.711","0.563","0.968","0.966","0.380","0.906","0.881","0.618","0.751","0.969","0.964","0.958","0.517","0.597","0.320","0.961","0.970","0.105","0.895","0.882","0.977","0.665","0.620","0.524","0.989","0.982","0.971","0.505","0.694","0.971","0.318","0.354","0.828","0.818","0.750","0.976","0.985","0.974","0.774","0.767","0.969","0.636","0.669","0.996","0.946","0.667","0.734","0.620","0.983","0.943","0.488","0.944","0.928","0.944","0.637","0.734","0.672","0.980","0.937","0.462","0.945","0.912","0.513","0.651","0.471","0.960","0.968","0.297","0.932","0.924","0.970","0.969","0.578","0.424","0.964","0.454","0.466","0.995","0.750","0.606","0.986","0.638","0.683","0.703","-0.363","0.990","0.595","0.597","0.944","0.569","0.984","0.977","0.172","0.877","0.864","0.640","0.597","0.986"
"БретЛВ","0.768","0.727","0.963","0.835","0.137","0.581","0.382","0.169","0.690","0.407","-0.302","-0.363","0.339","0.352","0.267","0.334","-0.172","-0.266","-0.457","-0.398","0.901","0.901","0.599","0.441","0.873","0.788","0.366","-0.231","0.835","0.678","0.506","-0.253","-0.217","-0.365","0.706","0.483","-0.366","0.555","0.424","0.775","0.461","0.844","0.892","0.920","0.522","0.494","0.738","0.748","0.805","0.374","0.448","0.637","0.656","0.383","-0.138","0.335","0.078","0.855","0.382","0.711","0.499","0.417","0.712","0.514","-0.116","-0.094","0.465","0.505","0.446","0.358","0.061","-0.175","-0.327","-0.188","0.687","0.634","0.201","0.701","0.692","0.583","0.284","0.263","0.634","0.721","0.723","0.367","0.238","-0.158","-0.149","0.146","0.959","0.791","0.979","0.885","0.817","0.911","0.929","0.922","0.779","0.969","0.817","0.905","0.928","0.787","0.843","0.894","0.746","0.733","0.929","0.944","0.914","0.600","0.701","0.815","0.851","0.762","0.256","0.741","0.563","0.489","0.418","0.819","0.873","0.951","0.370","0.483","0.733","0.784","0.650","0.094","0.514","0.284","0.689","0.622","0.834","0.747","0.913","0.843","0.918","0.575","0.715","0.555","0.519","0.617","0.916","0.879","0.556","0.693","0.906","0.930","0.852","0.678","0.700","0.605","0.483","0.959","0.801","0.729","0.920","0.916","0.982","0.938","0.289","0.818","0.615","0.972","0.707","0.621","0.858","0.947","0.979","0.884","0.978","0.982","0.704","0.610","0.812","0.814","0.931","0.683","0.881","0.897","0.931","0.944","0.641","0.638","-0.339","0.340","0.508","0.982","0.917","0.661","0.492","0.494","0.272","0.952","0.841","0.839","0.712","0.638","0.953","0.429","0.901","0.812","0.354","0.936","0.936","0.814","0.533","0.951"
"ВинЛВ","0.970","0.948","0.970","0.988","0.988","0.897","0.614","0.893","0.886","0.717","0.743","0.497","0.891","0.820","0.849","0.751","0.611","0.716","0.582","0.594","0.994","0.860","0.934","0.953","0.983","0.919","0.687","0.751","0.852","0.875","0.862","0.691","0.623","0.674","0.762","0.883","0.413","0.505","0.705","0.496","0.913","0.971","0.994","0.974","0.454","0.773","0.763","0.852","0.927","0.293","0.613","0.703","0.686","0.876","0.353","-0.267","0.149","0.981","0.967","0.341","-0.591","0.981","0.944","0.768","0.672","0.302","0.977","0.915","0.890","0.749","0.169","0.851","0.824","0.779","0.996","0.858","0.710","0.937","0.943","0.738","0.774","0.623","0.920","0.907","0.925","0.809","0.420","0.826","0.672","0.726","0.961","0.921","0.942","0.972","0.684","0.771","0.735","0.962","0.952","0.952","0.682","0.609","0.884","0.241","0.561","0.970","0.284","0.681","0.889","0.947","0.942","-0.193","0.446","0.606","0.802","0.917","0.090","0.262","0.136","-0.217","0.749","0.487","0.802","0.962","-0.387","0.681","0.744","0.567","0.841","0.492","-0.567","-0.122","0.982","0.686","0.629","0.433","0.996","0.975","0.957","0.751","0.311","0.948","0.872","0.828","0.874","0.869","0.678","0.988","0.996","0.991","0.869","0.217","0.970","0.797","0.843","0.992","0.869","0.697","0.850","0.839","0.979","0.784","0.712","0.948","0.888","0.942","0.648","0.848","0.856","0.979","0.883","0.724","0.944","0.905","0.426","0.695","0.728","0.923","0.944","0.616","0.770","0.912","0.989","0.975","0.680","-0.310","0.982","0.872","0.871","0.993","0.891","0.239","0.987","0.900","0.919","0.895","0.226","0.974","0.869","0.870","0.902","0.844","0.971","0.918","0.183","0.792","0.857","0.936","0.922","0.960"
